idx,ee_x,ee_y,ee_z
48,-0.24018511376783636,0.04568345323741009,0.56
49,-0.24014654839953709,0.06306954436450841,0.56
50,-0.24010798303123787,0.08045563549160671,0.56
51,-0.2400694176629386,0.09784172661870505,0.56
52,-0.24003085229463927,0.11522781774580337,0.56
53,-0.23999228692634011,0.13261390887290167,0.56
54,-0.2399537215580408,0.15,0.56
55,-0.22245055368850197,0.15,0.56
56,-0.2049473858189631,0.15,0.56
57,-0.18744421794942417,0.15,0.56
58,-0.16994105007988536,0.15,0.56
59,-0.1524378822103465,0.15,0.56
60,-0.13493471434080762,0.15,0.56
61,-0.11743154647126874,0.15,0.56
62,-0.09992837860172998,0.15,0.56
63,-0.082425210732191,0.15,0.56
64,-0.06492204286265224,0.15,0.56
65,-0.04741887499311326,0.15,0.56
66,-0.029915707123574498,0.15,0.56
67,-0.012412539254035515,0.15,0.56
68,0.005090628615503245,0.15,0.56
69,0.022593796485042228,0.15,0.56
70,0.04009696435458099,0.15,0.56
71,0.05760013222411986,0.15,0.56
72,0.07510330009365873,0.15,0.56
73,0.0926064679631976,0.15,0.56
74,0.11010963583273636,0.15,0.56
75,0.12761280370227523,0.15,0.56
76,0.14511597157181433,0.15,0.56
77,0.1626191394413531,0.15,0.56
78,0.18012230731089196,0.15,0.56
79,0.19762547518043083,0.15,0.56
80,0.2151286430499697,0.15,0.56
81,0.23263181091950846,0.15,0.56
82,0.25013497878904745,0.15,0.56
83,0.2501735441573466,0.13270383693045562,0.56
84,0.2502121095256461,0.11540767386091128,0.56
85,0.25025067489394526,0.0981115107913669,0.56
86,0.25028924026224453,0.08081534772182256,0.56
87,0.2503278056305438,0.06351918465227817,0.56
88,0.25036637099884307,0.04622302158273382,0.56
89,0.25040493636714234,0.028926858513189463,0.56
90,0.2504435017354417,0.011630695443645117,0.56
91,0.250482067103741,-0.005665467625899284,0.56
92,0.25052063247204015,-0.022961630695443658,0.56
93,0.25055919784033953,-0.040257793764987976,0.56
94,0.2505977632086388,-0.05755395683453235,0.56
95,0.2584650983416893,-0.06330935251798558,0.56
96,0.2663324334747398,-0.06906474820143882,0.56
97,0.27952178943308914,-0.0730215827338129,0.56
98,0.2927111453914386,-0.07697841726618701,0.56
99,0.3070574623987661,-0.079136690647482,0.56
100,0.32140377940609344,-0.08129496402877692,0.56
101,0.3357500964134208,-0.08345323741007188,0.56
102,0.35040493636714254,-0.08429256594724219,0.56
103,0.36505977632086417,-0.08513189448441241,0.56
104,0.3797146162745856,-0.0859712230215827,0.56
105,0.39714616274585446,-0.08561151079136689,0.56
106,0.4145777092171231,-0.08525179856115103,0.56
107,0.43200925568839177,-0.08489208633093523,0.56
108,0.44805244890088713,-0.0830935251798561,0.56
109,0.4640956421133823,-0.08129496402877692,0.56
110,0.4801388353258774,-0.07949640287769777,0.56
111,0.4970304666409565,-0.07535971223021576,0.56
112,0.5139220979560356,-0.07122302158273378,0.56
113,0.5234091785576555,-0.0660071942446043,0.56
114,0.5328962591592753,-0.0607913669064748,0.56
115,0.5361357500964136,-0.05395683453237404,0.56
116,0.5361357500964136,-0.03696043165467619,0.56
117,0.5361357500964136,-0.019964028776978365,0.56
118,0.5361357500964136,-0.0029676258992805127,0.56
119,0.5361357500964138,0.014028776978417284,0.56
120,0.5361357500964133,0.031025179856115165,0.56
121,0.5361357500964136,0.048021582733812976,0.56
122,0.5361357500964136,0.06501798561151081,0.56
123,0.5361357500964136,0.08201438848920864,0.56
124,0.5361357500964136,0.09901079136690649,0.56
125,0.5361357500964136,0.11600719424460433,0.56
126,0.5361357500964136,0.13300359712230214,0.56
127,0.5361357500964136,0.15,0.56
128,0.5521018125723102,0.15,0.56
129,0.5680678750482068,0.15,0.56
130,0.5840339375241034,0.15,0.56
131,0.6,0.15,0.56
132,0.6,0.1327338129496403,0.56
133,0.6,0.11546762589928058,0.56
134,0.6,0.09820143884892088,0.56
135,0.6,0.08093525179856118,0.56
136,0.6,0.06366906474820146,0.56
137,0.6,0.04640287769784175,0.56
138,0.6,0.029136690647482033,0.56
139,0.6,0.011870503597122356,0.56
140,0.6,-0.0053956834532373765,0.56
141,0.6,-0.02266187050359708,0.56
142,0.6,-0.039928057553956786,0.56
