idx,x,y,z,u,v,label
229,0.6264545128130115,-0.12599230960059526,0.56,0.7088181709376705,0.6679897461341271,
230,0.6264944080215971,-0.14388489208633093,0.56,0.7088314693405323,0.6918465227817745,
231,0.6396066332433481,-0.1534772182254196,0.56,0.713202211081116,0.7046362909672261,
232,0.6527188584650987,-0.16306954436450827,0.56,0.7175729528216995,0.7174260591526778,
233,0.6658310836868493,-0.17266187050359705,0.56,0.7219436945622831,0.7302158273381294,
234,0.6823177786347863,-0.1776079136690647,0.56,0.7274392595449287,0.7368105515587529,
235,0.6988044735827228,-0.18255395683453224,0.56,0.7329348245275743,0.7434052757793763,
236,0.7152911685306598,-0.1874999999999999,0.56,0.7384303895102199,0.7499999999999999,
237,0.7317778634785963,-0.19244604316546754,0.56,0.7439259544928655,0.7565947242206233,
238,0.7471489174150188,-0.19475847893114073,0.56,0.7490496391383396,0.7596779719081876,
239,0.7625199713514408,-0.19707091469681393,0.56,0.7541733237838136,0.7627612195957518,
240,0.7778910252878632,-0.199383350462487,0.56,0.7592970084292877,0.765844467283316,
241,0.7932620792242853,-0.2016957862281601,0.56,0.7644206930747618,0.7689277149708802,
242,0.8086331331607077,-0.2040082219938334,0.56,0.7695443777202359,0.7720109626584445,
243,0.8240041870971302,-0.2063206577595066,0.56,0.7746680623657101,0.7750942103460088,
244,0.8393752410335522,-0.20863309352517967,0.56,0.779791747011184,0.778177458033573,
245,0.8550768552696826,-0.20953237410071934,0.56,0.7850256184232275,0.7793764988009592,
246,0.8707784695058125,-0.2104316546762588,0.56,0.7902594898352708,0.7805755395683451,
247,0.8864800837419429,-0.21133093525179847,0.56,0.7954933612473143,0.7817745803357312,
248,0.9021816979780732,-0.21223021582733803,0.56,0.8007272326593577,0.7829736211031174,
249,0.9178833122142032,-0.2131294964028776,0.56,0.8059611040714011,0.7841726618705034,
250,0.933584926450334,-0.21402877697841716,0.56,0.8111949754834447,0.7853717026378896,
251,0.9492865406864639,-0.21492805755395672,0.56,0.816428846895488,0.7865707434052757,
252,0.9656286155032783,-0.2145908273381294,0.56,0.8218762051677595,0.7861211031175059,
253,0.9819706903200927,-0.21425359712230208,0.56,0.8273235634400309,0.7856714628297361,
254,0.998312765136907,-0.21391636690647475,0.56,0.8327709217123024,0.7852218225419663,
255,1.0146548399537219,-0.21357913669064743,0.56,0.8382182799845739,0.7847721822541965,
256,1.0309969147705367,-0.2132419064748201,0.56,0.8436656382568455,0.7843225419664268,
257,1.0473389895873506,-0.2129046762589928,0.56,0.8491129965291169,0.783872901678657,
258,1.063681064404165,-0.21256744604316535,0.56,0.8545603548013884,0.7834232613908871,
259,1.0800231392209794,-0.21223021582733803,0.56,0.8600077130736599,0.7829736211031174,
260,1.0972122748057958,-0.21030318602261033,0.56,0.8657374249352653,0.7804042480301472,
261,1.1144014103906121,-0.20837615621788275,0.56,0.8714671367968707,0.7778348749571771,
262,1.1315905459754285,-0.20644912641315505,0.56,0.8771968486584761,0.7752655018842067,
263,1.148779681560245,-0.20452209660842746,0.56,0.8829265605200816,0.7726961288112366,
264,1.1659688171450608,-0.20259506680369976,0.56,0.888656272381687,0.7701267557382663,
265,1.1831579527298772,-0.20066803699897218,0.56,0.8943859842432924,0.7675573826652962,
266,1.2003470883146936,-0.19874100719424448,0.56,0.9001156961048978,0.7649880095923259,
267,1.2172387196297727,-0.19460431654676247,0.56,0.9057462398765909,0.75947242206235,
268,1.2341303509448518,-0.19046762589928046,0.56,0.9113767836482839,0.7539568345323739,
269,1.2510219822599309,-0.18633093525179856,0.56,0.9170073274199769,0.748441247002398,
270,1.26791361357501,-0.18219424460431632,0.56,0.92263787119167,0.7429256594724218,
271,1.284805244890089,-0.17805755395683442,0.56,0.928268414963363,0.7374100719424459,
272,1.296664095642114,-0.17153776978417257,0.56,0.932221365214038,0.7287170263788968,
273,1.3085229463941386,-0.16501798561151082,0.56,0.9361743154647129,0.7200239808153477,
274,1.320381797146163,-0.15849820143884885,0.56,0.9401272657153877,0.7113309352517985,
275,1.332240647898188,-0.151978417266187,0.56,0.9440802159660627,0.7026378896882494,
276,1.336290011569611,-0.1434352517985611,0.56,0.9454300038565371,0.6912470023980815,
277,1.340339375241034,-0.13489208633093508,0.56,0.9467797917470113,0.6798561151079134,
278,1.340339375241034,-0.11730960059538559,0.56,0.9467797917470113,0.6564128007938475,
279,1.3403393752410335,-0.0997271148598361,0.56,0.9467797917470112,0.6329694864797815,
280,1.3403393752410344,-0.0821446291242866,0.56,0.9467797917470114,0.6095261721657155,
281,1.340339375241034,-0.06456214338873711,0.56,0.9467797917470113,0.5860828578516495,
282,1.340339375241034,-0.04697965765318762,0.56,0.9467797917470113,0.5626395435375835,
283,1.340339375241034,-0.029397171917638243,0.56,0.9467797917470113,0.5391962292235176,
284,1.340339375241034,-0.01181468618208864,0.56,0.9467797917470113,0.5157529149094515,
285,1.340339375241034,0.005767799553460795,0.56,0.9467797917470113,0.4923096005953856,
286,1.3403393752410344,0.023350285289010286,0.56,0.9467797917470114,0.46886628628131966,
287,1.340339375241034,0.04093277102455978,0.56,0.9467797917470113,0.4454229719672536,
288,1.340339375241034,0.05851525676010927,0.56,0.9467797917470113,0.4219796576531877,
289,1.340339375241034,0.0760977424956587,0.56,0.9467797917470113,0.3985363433391217,
290,1.340339375241034,0.09368022823120825,0.56,0.9467797917470113,0.3750930290250557,
291,1.340339375241034,0.11126271396675774,0.56,0.9467797917470113,0.35164971471098966,
292,1.340339375241034,0.1288451997023072,0.56,0.9467797917470113,0.3282064003969237,
293,1.340339375241034,0.1464276854378567,0.56,0.9467797917470113,0.30476308608285774,
294,1.340339375241034,0.16401017117340616,0.56,0.9467797917470113,0.2813197717687918,
295,1.340339375241034,0.18159265690895568,0.56,0.9467797917470113,0.25787645745472576,
296,1.340339375241034,0.19917514264450514,0.56,0.9467797917470113,0.23443314314065983,
297,1.340339375241034,0.21675762838005466,0.56,0.9467797917470113,0.21098982882659378,
298,1.340339375241034,0.23434011411560413,0.56,0.9467797917470113,0.18754651451252785,
299,1.340339375241034,0.2519225998511536,0.56,0.9467797917470113,0.1641032001984619,
